Номер заявки,Область,Район хозяйства,Направление водства,Причитающая сумма,Норматив,Статус заявки,score,score_pct,рекомендация,ранг_в_области
1300100267188.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,345000.0,15000.0,Исполнена,0.9954109401936344,99.5,✅ Рекомендовать,1
1300100302615.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,435000.0,15000.0,Исполнена,0.9953104394524396,99.5,✅ Рекомендовать,2
1300100314461.0,Актюбинская область,Хромтауский район,Субсидирование в скотоводстве,1350000.0,15000.0,Исполнена,0.9952936536304497,99.5,✅ Рекомендовать,3
1200100313748.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,290000.0,10000.0,Исполнена,0.9950617395238511,99.5,✅ Рекомендовать,4
1200100312044.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,250000.0,10000.0,Исполнена,0.9950372054714449,99.5,✅ Рекомендовать,5
1300100304707.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.9949625144615556,99.5,✅ Рекомендовать,6
1300100313567.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.9949625144615556,99.5,✅ Рекомендовать,6
1200100305718.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,300000.0,10000.0,Исполнена,0.9949452514310598,99.5,✅ Рекомендовать,8
1300100298617.0,Актюбинская область,Хромтауский район,Субсидирование в скотоводстве,795000.0,15000.0,Исполнена,0.9949274194949067,99.5,✅ Рекомендовать,9
1300100314418.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,525000.0,15000.0,Исполнена,0.9948731189698682,99.5,✅ Рекомендовать,10
1300100313908.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,420000.0,15000.0,Исполнена,0.9948428572545336,99.5,✅ Рекомендовать,11
1300100307093.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,1290000.0,15000.0,Исполнена,0.9947164855703958,99.5,✅ Рекомендовать,12
1300100261591.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,450000.0,15000.0,Исполнена,0.9946693726601861,99.5,✅ Рекомендовать,13
1300100275132.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,450000.0,15000.0,Исполнена,0.9946693726601861,99.5,✅ Рекомендовать,13
1300100307364.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,600000.0,15000.0,Исполнена,0.9946588402751532,99.5,✅ Рекомендовать,15
1300100259924.0,область Абай,Абайский район,Субсидирование в скотоводстве,1350000.0,15000.0,Исполнена,0.9946506985525093,99.5,✅ Рекомендовать,1
1300100261959.0,область Абай,Абайский район,Субсидирование в скотоводстве,1365000.0,15000.0,Исполнена,0.9946506985525093,99.5,✅ Рекомендовать,1
1300100301599.0,область Абай,Абайский район,Субсидирование в скотоводстве,1350000.0,15000.0,Исполнена,0.9946506985525093,99.5,✅ Рекомендовать,1
1300100259971.0,область Абай,Абайский район,Субсидирование в скотоводстве,1350000.0,15000.0,Исполнена,0.9946506985525093,99.5,✅ Рекомендовать,1
1300100277491.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,1440000.0,15000.0,Исполнена,0.9945831738382189,99.5,✅ Рекомендовать,16
1200100299191.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100285580.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,840000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100293115.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100287620.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,780000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100287929.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,830000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100310950.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,740000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100302491.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,760000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100298895.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100298421.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,790000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100307361.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,810000.0,10000.0,Исполнена,0.9945011866989071,99.5,✅ Рекомендовать,17
1200100311038.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,540000.0,10000.0,Исполнена,0.9944563034637979,99.4,✅ Рекомендовать,27
1200100319400.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.9943269402017855,99.4,✅ Рекомендовать,28
1200100295032.0,область Абай,Абайский район,Субсидирование в скотоводстве,1290000.0,10000.0,Исполнена,0.994322688661916,99.4,✅ Рекомендовать,5
1200100303127.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,1270000.0,10000.0,Исполнена,0.9942977623122569,99.4,✅ Рекомендовать,29
1200100301181.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.994264633751535,99.4,✅ Рекомендовать,30
1200100303501.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,590000.0,10000.0,Исполнена,0.994264633751535,99.4,✅ Рекомендовать,30
1300100314217.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,2100000.0,15000.0,Исполнена,0.9942211562185751,99.4,✅ Рекомендовать,32
1300100267952.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.9941425332360142,99.4,✅ Рекомендовать,1
1200100317154.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,750000.0,10000.0,Исполнена,0.9941322749615392,99.4,✅ Рекомендовать,33
1200100303291.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9941322749615392,99.4,✅ Рекомендовать,33
1200100319354.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1300000.0,10000.0,Исполнена,0.9941268741283459,99.4,✅ Рекомендовать,2
1200100295565.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9940804287866697,99.4,✅ Рекомендовать,35
1200100303126.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9940804287866697,99.4,✅ Рекомендовать,35
1200100283929.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,300000.0,10000.0,Исполнена,0.994037328121204,99.4,✅ Рекомендовать,37
1200100326690.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,830000.0,10000.0,Исполнена,0.9940248698248982,99.4,✅ Рекомендовать,38
1300100310552.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,1050000.0,15000.0,Исполнена,0.9939477147797976,99.4,✅ Рекомендовать,39
1200100312536.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1080000.0,10000.0,Исполнена,0.9939399146302762,99.4,✅ Рекомендовать,40
1200100310860.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1060000.0,10000.0,Исполнена,0.9939399146302762,99.4,✅ Рекомендовать,40
1200100290358.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,540000.0,10000.0,Исполнена,0.9939331787547196,99.4,✅ Рекомендовать,42
1200100287117.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.9939040794904781,99.4,✅ Рекомендовать,43
1200100287124.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.9939040794904781,99.4,✅ Рекомендовать,43
1200100317220.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.9939040794904781,99.4,✅ Рекомендовать,43
1300100310452.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,750000.0,15000.0,Исполнена,0.9938937076622084,99.4,✅ Рекомендовать,3
1300100264258.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,1290000.0,15000.0,Исполнена,0.9938332628715477,99.4,✅ Рекомендовать,46
1200100297753.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,1500000.0,10000.0,Исполнена,0.99382958885922,99.4,✅ Рекомендовать,47
1200100286527.0,область Абай,Абайский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9937883256375863,99.4,✅ Рекомендовать,6
1200100285535.0,область Абай,Абайский район,Субсидирование в скотоводстве,890000.0,10000.0,Исполнена,0.9937883256375863,99.4,✅ Рекомендовать,6
1200100283840.0,область Абай,Абайский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9937883256375863,99.4,✅ Рекомендовать,6
1300100266054.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,1005000.0,15000.0,Исполнена,0.9937870315890849,99.4,✅ Рекомендовать,48
1200100310925.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,430000.0,10000.0,Исполнена,0.9937308353173236,99.4,✅ Рекомендовать,49
1200100313749.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,420000.0,10000.0,Исполнена,0.9937308353173236,99.4,✅ Рекомендовать,49
1200100320848.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.9937101961716734,99.4,✅ Рекомендовать,4
1200100285439.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.9937101961716734,99.4,✅ Рекомендовать,4
1300100322927.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,870000.0,15000.0,Исполнена,0.9937060310504038,99.4,✅ Рекомендовать,51
1200100298231.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9936934380735659,99.4,✅ Рекомендовать,52
1200100302843.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9936934380735659,99.4,✅ Рекомендовать,52
1200100313993.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,240000.0,10000.0,Исполнена,0.9936824458615449,99.4,✅ Рекомендовать,54
1200100286842.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1520000.0,10000.0,Исполнена,0.9936347272465711,99.4,✅ Рекомендовать,55
1200100292668.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,1800000.0,10000.0,Исполнена,0.993622435942881,99.4,✅ Рекомендовать,56
